Reference, Quantity, Value, Footprint, Datasheet
C1 C2 ,2,"1uF","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~"
C3 C5 ,2,"0.1uF","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~"
C4 ,1,"10uF","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~"
J1 ,1,"JST PH3","Connector_JST:JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal","~"
J2 ,1,"UART","kicad-custom:PinHeader_1x4_P2.54mm_Horizontal_SMD","~"
J3 ,1,"JST PH2","Connector_JST:JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal","~"
J4 ,1,"JST GH2","Connector_JST:JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal","~"
JP1 ,1,"Download","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm","~"
Q1 Q2 ,2,"BSS84","Package_TO_SOT_SMD:SOT-23","http://assets.nexperia.com/documents/data-sheet/BSS84.pdf"
R1 ,1,"330K","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~"
R2 ,1,"100K","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~"
R3 R4 R5 R6 R7 R8 ,6,"10K","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~"
U1 ,1,"MCP1700-3302E_SOT23","Package_TO_SOT_SMD:SOT-23","http://ww1.microchip.com/downloads/en/DeviceDoc/20001826D.pdf"
U2 ,1,"ESP-12F","RF_Module:ESP-12E","http://wiki.ai-thinker.com/_media/esp8266/esp8266_series_modules_user_manual_v1.1.pdf"
U3 ,1,"Si7021-A20","Package_DFN_QFN:DFN-6-1EP_3x3mm_P1mm_EP1.5x2.4mm","https://www.silabs.com/documents/public/data-sheets/Si7021-A20.pdf"